STATE,RANGE,POP
United States,0-10,40396449
United States,19-Oct,41670613
United States,20-29,44260108
United States,30-39,41098701
United States,40-49,41334837
United States,50-59,44061580
United States,60-69,33890892
United States,70-80+,18995348
Alabama,0-10,601755
Alabama,19-Oct,631585
Alabama,20-29,664051
Alabama,30-39,598567
Alabama,40-49,620891
Alabama,50-59,679497
Alabama,60-69,545166
Alabama,70-80+,318097
Alaska,0-10,106641
Alaska,19-Oct,98170
Alaska,20-29,112334
Alaska,30-39,95220
Alaska,40-49,87654
Alaska,50-59,103139
Alaska,60-69,71061
Alaska,70-80+,27906
Arizona,0-10,892597
Arizona,19-Oct,910898
Arizona,20-29,930951
Arizona,30-39,854710
Arizona,40-49,826240
Arizona,50-59,846898
Arizona,60-69,730438
Arizona,70-80+,463338
Arkansas,0-10,390504
Arkansas,19-Oct,393137
Arkansas,20-29,399517
Arkansas,30-39,371636
Arkansas,40-49,365742
Arkansas,50-59,397962
Arkansas,60-69,328313
Arkansas,70-80+,200014
California,0-10,5069597
California,19-Oct,5138937
California,20-29,5757584
California,30-39,5331232
California,40-49,5180916
California,50-59,5113012
California,60-69,3729317
California,70-80+,2017154
Colorado,0-10,689922
Colorado,19-Oct,695664
Colorado,20-29,765266
Colorado,30-39,747592
Colorado,40-49,699923
Colorado,50-59,729575
Colorado,60-69,558000
Colorado,70-80+,274026
Connecticut,0-10,399603
Connecticut,19-Oct,481436
Connecticut,20-29,461450
Connecticut,30-39,425973
Connecticut,40-49,492465
Connecticut,50-59,553581
Connecticut,60-69,395754
Connecticut,70-80+,217363
Delaware,0-10,112860
Delaware,19-Oct,117017
Delaware,20-29,126370
Delaware,30-39,111537
Delaware,40-49,118172
Delaware,50-59,133591
Delaware,60-69,110625
Delaware,70-80+,64951
District of Columbia,0-10,73982
District of Columbia,19-Oct,63291
District of Columbia,20-29,135101
District of Columbia,30-39,121661
District of Columbia,40-49,78872
District of Columbia,50-59,75490
District of Columbia,60-69,57591
District of Columbia,70-80+,29332
Florida,0-10,2210461
Florida,19-Oct,2305504
Florida,20-29,2578434
Florida,30-39,2377737
Florida,40-49,2557576
Florida,50-59,2776808
Florida,60-69,2383795
Florida,70-80+,1612786
Georgia,0-10,1367218
Georgia,19-Oct,1400478
Georgia,20-29,1402687
Georgia,30-39,1331402
Georgia,40-49,1393737
Georgia,50-59,1343255
Georgia,60-69,994250
Georgia,70-80+,526969
Hawaii,0-10,177763
Hawaii,19-Oct,161293
Hawaii,20-29,189671
Hawaii,30-39,176598
Hawaii,40-49,167549
Hawaii,50-59,184262
Hawaii,60-69,161664
Hawaii,70-80+,87675
Idaho,0-10,237585
Idaho,19-Oct,237134
Idaho,20-29,217287
Idaho,30-39,208990
Idaho,40-49,191784
Idaho,50-59,208668
Idaho,60-69,175424
Idaho,70-80+,98667
Illinois,0-10,1619011
Illinois,19-Oct,1709020
Illinois,20-29,1779287
Illinois,30-39,1722579
Illinois,40-49,1696571
Illinois,50-59,1798410
Illinois,60-69,1321783
Illinois,70-80+,725481
Indiana,0-10,860046
Indiana,19-Oct,905515
Indiana,20-29,906645
Indiana,30-39,826666
Indiana,40-49,842698
Indiana,50-59,921528
Indiana,60-69,700460
Indiana,70-80+,386422
Iowa,0-10,400589
Iowa,19-Oct,415808
Iowa,20-29,420886
Iowa,30-39,383096
Iowa,40-49,368612
Iowa,50-59,433842
Iowa,60-69,341093
Iowa,70-80+,196479
Kansas,0-10,403862
Kansas,19-Oct,399834
Kansas,20-29,399746
Kansas,30-39,364552
Kansas,40-49,337402
Kansas,50-59,392451
Kansas,60-69,299296
Kansas,70-80+,165012
Kentucky,0-10,558213
Kentucky,19-Oct,567392
Kentucky,20-29,587111
Kentucky,30-39,554246
Kentucky,40-49,575432
Kentucky,50-59,626667
Kentucky,60-69,494735
Kentucky,70-80+,275490
Louisiana,0-10,622504
Louisiana,19-Oct,607349
Louisiana,20-29,679790
